Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
BiSc,0.3,Sc,Sc,Ti,0.5,0.5,0,0.7,0.9924,8.0000,3.7380,3.9318,115.9000,Yes
BiSc,0.4,Sc,Sc,Ti,0.5,0.5,0,0.6,0.9808,8.0000,3.7240,3.9334,113.2000,Yes
BiSc,0.5,Sc,Sc,Ti,0.5,0.5,0,0.5,0.9693,8.0000,3.7100,3.9350,110.5000,No
BiSc,0.6,Sc,Sc,Ti,0.5,0.5,0,0.4,0.9577,8.0000,3.6960,3.9366,107.8000,No
BiSc,0.7,Sc,Sc,Ti,0.5,0.5,0,0.3,0.9461,8.0000,3.6820,3.9382,105.1000,No
BiSc,0.8,Sc,Sc,Ti,0.5,0.5,0,0.2,0.9345,8.0000,3.6680,3.9398,102.4000,No
BiSc,0.9,Sc,Sc,Ti,0.5,0.5,0,0.1,0.9229,8.0000,3.6540,3.9414,99.7000,No
BiScIn,0.5,Sc,In,Ti,0.64,0.36,0,0.5,0.9650,8.0000,3.7334,3.9445,122.0200,No
Bi(GaSc),0.6,Sc,Ga,Ti,0.17,0.83,0,0.4,0.9862,8.0000,3.7956,3.8773,139.1740,No
Bi(GaSc),0.48,Sc,Ga,Ti,0.17,0.83,0,0.52,0.9944,8.0000,3.7925,3.8873,136.1392,No
BiScIn,0.35,Sc,In,Ti,0.69,0.31,0,0.65,0.9841,8.0000,3.7451,3.9384,121.4940,Yes
Bi(GaSc),0.5,Sc,Ga,Ti,0.56,0.44,0,0.5,0.9815,8.0000,3.7540,3.9088,124.3600,No
BiScIn,0.332,Sc,In,Ti,0.621385542,0.378614458,0,0.668,0.9857,8.0000,3.7499,3.9390,123.0808,Yes
BiScIn,0.3114,Sc,In,Ti,0.596339114,0.403660886,0,0.6886,0.9881,8.0000,3.7527,3.9386,123.6370,Yes
BiScIn,0.2805,Sc,In,Ti,0.551871658,0.448128342,0,0.7195,0.9917,8.0000,3.7571,3.9382,124.4713,Yes
BiScIn,0.35,Sc,In,Ti,0.571428571,0.428571429,0,0.65,0.9831,8.0000,3.7505,3.9406,124.1500,Yes
BiScIn,0.33,Sc,In,Ti,0.545454545,0.454545455,0,0.67,0.9854,8.0000,3.7533,3.9402,124.6900,Yes
BiScIn,0.3,Sc,In,Ti,0.5,0.5,0,0.7,0.9889,8.0000,3.7575,3.9398,125.5000,Yes
BiScIn,0.37,Sc,In,Ti,0.594594595,0.405405405,0,0.63,0.9808,8.0000,3.7477,3.9409,123.6100,Yes
BiScIn,0.3118,Sc,In,Ti,0.679281591,0.320718409,0,0.6882,0.9887,8.0000,3.7493,3.9373,121.9814,Yes
BiScIn,0.2735,Sc,In,Ti,0.817184644,0.182815356,0,0.7265,0.9943,8.0000,3.7482,3.9340,119.8155,Yes
BiScIn,0.3118,Sc,In,Ti,0.839640795,0.160359205,0,0.6882,0.9899,8.0000,3.7428,3.9346,118.7814,Yes
BiScIn,0.35,Sc,In,Ti,0.857142857,0.142857143,0,0.65,0.9854,8.0000,3.7375,3.9353,117.7500,Yes
BiScIn,0.37,Sc,In,Ti,0.864864865,0.135135135,0,0.63,0.9831,8.0000,3.7347,3.9356,117.2100,Yes
BiCoFe,0.7,Co,Fe,Ti,0.27,0.73,0,0.3,0.9812,11.6890,3.8105,3.8481,136.4670,No
Bi(GaSc),0.25,Sc,Ga,Ti,0.47,0.53,0,0.75,1.0057,8.0000,3.7715,3.9152,125.5975,Yes
BiCoFe,0.2,Co,Fe,Ti,0.88,0.12,0,0.8,1.0162,9.1760,3.7948,3.8905,127.9280,Yes
Bi(ScFe),0.4,Sc,Fe,Ti,0.81,0.19,0,0.6,0.9842,8.3800,3.7369,3.9260,116.5440,Yes
